ENST.ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PTC.Status	ensembl_gene_id	transcript_biotype
ENST00000394412	2808.7559218180636	0.28618380890687106	0.08881633515572628	3.222197903179524	0.00127211235478396	0.00391109701503239	FALSE	ENSG00000166813	protein_coding
ENST00000445906	141.6307730536593	1.1112773932013598	0.29349863413473315	3.786311975445917	1.528996920724647e-4	5.525869580718943e-4	TRUE	ENSG00000166813	nonsense_mediated_decay
ENST00000306938	265.4761755856476	-0.07822326386174241	0.3268721397780893	-0.2393084461552689	0.8108664165754046	0.8792296392066952	FALSE	ENSG00000172262	protein_coding
ENST00000505606	280.69585694963257	-0.5388280440559525	0.16289369198573692	-3.3078508902796107	9.401485226656732e-4	0.00296718381291398	FALSE	ENSG00000172262	protein_coding
ENST00000511736	17.603776790059626	1.2095077509797278	0.5646965210084864	2.141872148990185	0.03220377158546638	0.07015495087747542	TRUE	ENSG00000172262	nonsense_mediated_decay
ENST00000645953	233.13089056012817	0.9175722029136462	0.2003164897987694	4.580612429038696	4.636163039123994e-6	2.092771911782696e-5	TRUE	ENSG00000134480	nonsense_mediated_decay
ENST00000646883	67.5268151016597	1.8520574634135176	0.3014551313204742	6.14372512188095	8.060829021651142e-10	5.483788360334784e-9	TRUE	ENSG00000134480	nonsense_mediated_decay
ENST00000256897	1172.722329777558	-0.4986023208123164	0.10283685815175364	-4.848478743647945	1.2441185911190334e-6	6.033620497522308e-6	FALSE	ENSG00000134480	protein_coding
ENST00000504878	168.26787249686635	0.3135947402175255	0.2227199155874828	1.4080228945414974	0.1591242907932843	0.26669532406734625	FALSE	ENSG00000134480	protein_coding
ENST00000615182	649.0577104096652	-0.11726970264714008	0.13581014533626556	-0.8634826386260069	0.38787216090375953	0.5299046080922434	FALSE	ENSG00000276234	protein_coding
ENST00000614122	130.35029755681754	3.174609633086658	0.32030714732839727	9.911142038400618	3.723651527880785e-23	6.610579635079646e-22	TRUE	ENSG00000276234	nonsense_mediated_decay
ENST00000620628	674.85542192073	0.8403903134445576	0.13370854869734275	6.285239961334343	3.27347667026156e-10	2.310923922700211e-9	TRUE	ENSG00000276234	nonsense_mediated_decay
ENST00000620367	31.570206085284827	0.04911463331597587	0.4685621262112491	0.10481989595085787	0.9165187223320586	0.9487436355423527	FALSE	ENSG00000276234	protein_coding
ENST00000612272	262.77426501513867	0.27207174102070386	0.16239576091371222	1.675362333905176	0.09386316211946416	0.1734377405883844	FALSE	ENSG00000276234	protein_coding
ENST00000619777	44.13780497636589	2.754793999523516	0.5209086749152818	5.288439475444602	1.2336429461208038e-7	6.727906387112933e-7	TRUE	ENSG00000276234	nonsense_mediated_decay
ENST00000317907	1283.951916577159	-0.4962131224219251	0.11514203787882496	-4.3095739103049215	1.635693868913307e-5	6.832197689448136e-5	FALSE	ENSG00000018699	protein_coding
ENST00000647819	83.88646411729367	1.757679977740492	0.4375034315864741	4.017522722888816	5.881316564881004e-5	2.272016724020156e-4	TRUE	ENSG00000018699	nonsense_mediated_decay
ENST00000648640	35.250332321910854	-0.4442438308289363	0.5255182854169654	-0.8453441928789538	0.3979186935419419	0.5400285693025678	FALSE	ENSG00000162244	protein_coding
ENST00000480306	59.06946371191136	0.722466040827001	0.31266974297524697	2.310636244979407	0.02085295548255082	0.04798706202690744	TRUE	ENSG00000162244	nonsense_mediated_decay
ENST00000345496	5051.113523636904	-0.4960139595414204	0.12150788384685655	-4.0821545387670115	4.462010916952146e-5	1.752728605904536e-4	FALSE	ENSG00000184787	protein_coding
ENST00000330942	140.71207917116607	0.05516309031811498	0.3965977286901915	0.1390907872828654	0.8893784081452434	0.9317522546147976	FALSE	ENSG00000184787	protein_coding
